user_id,item_id,rating
0,12,4.0
0,128,3.0
2,68,1.0
2,152,2.0
2,220,2.0
3,65,1.0
3,75,1.0
3,293,2.0
4,13,2.0
4,150,4.0
4,200,4.0
5,77,1.0
5,280,2.0
6,52,1.0
6,114,1.0
6,148,2.0
6,249,4.0
7,15,2.0
7,218,3.0
7,280,2.0
8,254,2.0
8,290,3.0
9,46,1.0
9,110,1.0
9,143,1.0
9,181,1.0
9,276,5.0
10,11,1.0
10,149,1.0
11,26,2.0
11,85,4.0
11,203,2.0
12,67,2.0
12,111,3.0
12,129,2.0
12,185,2.0
12,218,4.0
12,286,3.0
13,54,3.0
13,143,3.0
14,89,1.0
14,185,1.0
14,286,3.0
15,62,2.0
15,185,1.0
15,292,4.0
16,72,1.0
16,132,1.0
16,269,1.0
17,157,1.0
17,254,2.0
18,180,2.0
18,198,3.0
19,69,1.0
19,141,1.0
20,37,3.0
20,152,2.0
20,196,1.0
20,277,2.0
21,43,5.0
21,111,2.0
22,141,4.0
23,9,1.0
23,35,1.0
23,98,1.0
23,277,2.0
24,122,2.0
24,203,2.0
24,254,4.0
24,296,2.0
25,151,1.0
25,170,1.0
26,58,2.0
26,246,5.0
26,267,5.0
27,47,1.0
27,108,2.0
28,88,1.0
29,4,2.0
29,112,1.0
30,23,1.0
30,58,1.0
30,116,1.0
31,132,1.0
32,95,1.0
32,131,1.0
32,143,1.0
32,165,1.0
32,284,1.0
33,6,1.0
33,75,1.0
34,51,1.0
34,68,2.0
34,198,3.0
34,298,2.0
35,78,1.0
35,262,4.0
35,274,4.0
35,275,1.0
36,14,1.0
36,60,2.0
36,201,1.0
36,213,5.0
36,222,2.0
37,78,1.0
37,111,1.0
37,240,1.0
38,126,1.0
38,139,1.0
38,232,3.0
39,122,5.0
39,223,1.0
40,93,5.0
40,143,1.0
40,164,4.0
40,224,2.0
41,59,1.0
41,121,1.0
41,189,5.0
41,203,3.0
41,253,2.0
42,14,1.0
42,28,1.0
42,91,1.0
42,207,4.0
43,68,1.0
43,203,3.0
43,222,1.0
43,272,3.0
43,296,3.0
44,17,1.0
44,97,1.0
44,260,3.0
44,271,1.0
45,140,1.0
45,141,1.0
45,189,1.0
45,201,1.0
45,226,3.0
46,23,2.0
46,169,3.0
46,223,2.0
47,53,3.0
47,82,3.0
47,184,2.0
47,285,2.0
48,14,4.0
48,111,1.0
48,121,3.0
49,22,1.0
49,169,4.0
49,183,3.0
50,98,1.0
50,108,1.0
50,269,2.0
51,9,3.0
51,96,4.0
51,141,3.0
51,192,5.0
51,223,4.0
52,133,1.0
52,158,4.0
52,219,2.0
53,69,3.0
53,96,2.0
53,175,2.0
53,176,1.0
53,275,1.0
53,295,3.0
54,15,2.0
54,216,2.0
54,217,4.0
54,244,3.0
54,287,3.0
54,288,5.0
55,66,1.0
55,90,1.0
55,279,3.0
