user_id,item_id,rating
0,236,4.0
0,246,2.0
0,247,4.0
0,252,3.0
0,273,3.0
1,223,1.0
1,225,4.0
1,233,5.0
1,249,3.0
1,252,4.0
1,292,1.0
1,296,1.0
2,176,2.0
2,236,5.0
2,240,5.0
2,251,1.0
3,181,1.0
3,186,5.0
3,219,2.0
3,237,1.0
3,270,4.0
3,276,3.0
4,226,2.0
4,250,2.0
5,109,2.0
5,244,2.0
5,253,3.0
5,255,1.0
5,282,2.0
6,210,2.0
6,221,3.0
6,251,2.0
6,265,3.0
7,168,2.0
7,196,3.0
7,222,1.0
7,225,1.0
7,252,2.0
7,297,3.0
8,159,2.0
8,173,2.0
8,174,1.0
8,210,4.0
8,228,4.0
8,231,3.0
8,250,1.0
8,275,1.0
8,298,1.0
9,171,1.0
9,205,4.0
9,228,5.0
9,278,5.0
10,131,1.0
10,246,2.0
10,248,1.0
10,250,1.0
10,288,5.0
11,228,4.0
11,246,5.0
11,255,1.0
11,258,1.0
11,260,3.0
12,11,3.0
12,183,1.0
12,193,4.0
12,203,3.0
12,227,3.0
12,273,2.0
12,288,2.0
12,298,2.0
13,94,1.0
13,173,4.0
14,197,4.0
14,205,2.0
14,207,2.0
14,219,3.0
14,260,2.0
14,296,5.0
15,170,3.0
15,217,3.0
15,232,1.0
15,296,1.0
16,158,3.0
16,220,1.0
16,231,3.0
17,205,3.0
17,245,5.0
17,261,2.0
18,23,1.0
18,176,2.0
18,183,1.0
18,247,3.0
18,249,2.0
18,287,2.0
19,213,1.0
19,246,4.0
19,253,4.0
19,290,1.0
20,73,4.0
20,102,4.0
20,108,1.0
20,161,4.0
20,176,2.0
20,211,1.0
21,155,4.0
21,156,5.0
21,241,2.0
21,251,5.0
22,198,2.0
22,231,5.0
22,233,5.0
23,84,1.0
23,159,1.0
23,163,1.0
23,174,5.0
23,204,2.0
23,228,2.0
23,246,1.0
24,123,2.0
24,227,4.0
24,238,4.0
24,258,4.0
24,284,2.0
24,286,4.0
25,21,1.0
25,165,3.0
25,171,2.0
25,208,3.0
25,223,1.0
25,264,1.0
26,136,3.0
26,163,2.0
26,275,3.0
26,285,2.0
27,129,3.0
27,155,3.0
27,217,2.0
27,226,1.0
28,227,1.0
28,246,2.0
28,292,1.0
29,145,1.0
29,160,3.0
29,172,3.0
29,233,5.0
30,10,2.0
30,158,5.0
30,249,5.0
30,252,5.0
30,256,3.0
30,285,3.0
31,219,4.0
31,249,3.0
31,269,1.0
32,128,1.0
33,244,1.0
33,256,4.0
33,260,2.0
33,298,1.0
34,229,4.0
34,235,5.0
34,242,3.0
34,249,3.0
34,252,5.0
34,253,2.0
34,266,3.0
35,61,1.0
35,67,4.0
35,144,4.0
35,181,3.0
35,182,3.0
35,226,1.0
35,237,4.0
35,248,2.0
36,56,1.0
36,175,2.0
36,246,5.0
36,291,5.0
36,295,5.0
37,150,1.0
37,199,3.0
37,220,1.0
37,242,1.0
37,284,1.0
37,292,2.0
38,232,3.0
38,244,3.0
38,259,2.0
39,264,2.0
39,276,3.0
39,279,5.0
39,280,5.0
40,155,4.0
40,243,3.0
40,278,2.0
40,286,4.0
41,164,3.0
41,214,4.0
41,249,1.0
41,250,1.0
41,257,2.0
42,174,4.0
42,179,1.0
42,192,1.0
42,250,1.0
42,261,1.0
43,226,2.0
43,236,4.0
43,242,3.0
43,263,1.0
43,270,2.0
43,288,3.0
43,291,1.0
43,294,4.0
44,175,1.0
44,197,5.0
44,233,2.0
44,252,4.0
44,253,2.0
44,268,3.0
44,288,4.0
45,218,3.0
45,235,2.0
45,290,2.0
46,60,2.0
46,126,3.0
